date,Start (ET),away_team,PTS,home_team,PTS.1,Arena,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
10/28/21,8:00p,New York Knicks,104,Chicago Bulls,103,United Center,New York Knicks,@,Chicago Bulls,Chicago Bulls,New York Knicks,Eastern,Central,Eastern,Atlantic,Central,Atlantic,Eastern,Eastern,Thu,8:00:00 PM,20:00:00,N,10/28/21,Chicago BullsNew York Knicks2021-10-28
10/28/21,8:30p,San Antonio Spurs,99,Dallas Mavericks,104,American Airlines Center,Dallas Mavericks,,San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Western,Southwest,Western,Southwest,Southwest,Southwest,Western,Western,Thu,8:30:00 PM,20:30:00,N,10/28/21,Dallas MavericksSan Antonio Spurs2021-10-28
10/28/21,10:00p,Memphis Grizzlies,104,Golden State Warriors,101,Chase Center,Memphis Grizzlies,@,Golden State Warriors,Golden State Warriors,Memphis Grizzlies,Western,Pacific,Western,Southwest,Pacific,Southwest,Western,Western,Thu,10:00:00 PM,22:00:00,N,10/28/21,Golden State WarriorsMemphis Grizzlies2021-10-28
10/29/21,7:00p,Orlando Magic,109,Toronto Raptors,110,Scotiabank Arena,Toronto Raptors,,Orlando Magic,Orlando Magic,Toronto Raptors,Eastern,Atlantic,Eastern,Southeast,Southeast,Atlantic,Eastern,Eastern,Fri,7:00:00 PM,19:00:00,N,10/29/21,Orlando MagicToronto Raptors2021-10-29
10/29/21,7:30p,Charlotte Hornets,99,Miami Heat,114,FTX Arena,Miami Heat,,Charlotte Hornets,Charlotte Hornets,Miami Heat,Eastern,Southeast,Eastern,Southeast,Southeast,Southeast,Eastern,Eastern,Fri,7:30:00 PM,19:30:00,N,10/29/21,Charlotte HornetsMiami Heat2021-10-29
10/29/21,7:30p,Indiana Pacers,98,Brooklyn Nets,105,Barclays Center,Brooklyn Nets,,Indiana Pacers,Brooklyn Nets,Indiana Pacers,Eastern,Atlantic,Eastern,Central,Atlantic,Central,Eastern,Eastern,Fri,7:30:00 PM,19:30:00,N,10/29/21,Brooklyn NetsIndiana Pacers2021-10-29
10/29/21,8:00p,Sacramento Kings,113,New Orleans Pelicans,109,Smoothie King Center,Sacramento Kings,@,New Orleans Pelicans,New Orleans Pelicans,Sacramento Kings,Western,Southwest,Western,Pacific,Southwest,Pacific,Western,Western,Fri,8:00:00 PM,20:00:00,N,10/29/21,New Orleans PelicansSacramento Kings2021-10-29
10/29/21,10:00p,Dallas Mavericks,75,Denver Nuggets,106,Ball Arena,Denver Nuggets,,Dallas Mavericks,Dallas Mavericks,Denver Nuggets,Western,Northwest,Western,Southwest,Southwest,Northwest,Western,Western,Fri,10:00:00 PM,22:00:00,N,10/29/21,Dallas MavericksDenver Nuggets2021-10-29
10/29/21,10:00p,Los Angeles Clippers,92,Portland Trail Blazers,111,Moda Center,Portland Trail Blazers,,Los Angeles Clippers,Los Angeles Clippers,Portland Trail Blazers,Western,Northwest,Western,Pacific,Pacific,Northwest,Western,Western,Fri,10:00:00 PM,22:00:00,N,10/29/21,Los Angeles ClippersPortland Trail Blazers2021-10-29
10/29/21,10:30p,Cleveland Cavaliers,101,Los Angeles Lakers,113,Crypto.com Arena,Los Angeles Lakers,,Cleveland Cavaliers,Cleveland Cavaliers,Los Angeles Lakers,Western,Pacific,Western,Central,Central,Pacific,Western,Western,Fri,10:30:00 PM,22:30:00,N,10/29/21,Cleveland CavaliersLos Angeles Lakers2021-10-29
10/30/21,5:00p,Boston Celtics,112,Washington Wizards,115,Capital One Arena,Washington Wizards,,Boston Celtics,Boston Celtics,Washington Wizards,Eastern,Southeast,Eastern,Atlantic,Atlantic,Southeast,Eastern,Eastern,Sat,5:00:00 PM,17:00:00,D,10/30/21,Boston CelticsWashington Wizards2021-10-30
