game_id,sport_title,commence_time,home_team,away_team,home_team_score,away_team_score,winning_team
c19e017feb76eed6282677fa09657c12,MLB,2023-07-30T01:00:00Z,St. Louis Cardinals,Chicago Cubs,1.0,5.0,Chicago Cubs
d7e0b2e172e35ea8e8e4533cc180221c,MLB,2023-07-30T01:09:42Z,Los Angeles Dodgers,Cincinnati Reds,3.0,2.0,Los Angeles Dodgers
e3ea6e4eb19024cabd6ec170ed05286d,MLB,2023-07-30T16:05:00Z,Toronto Blue Jays,Los Angeles Angels,2.0,3.0,Los Angeles Angels
6561c5aaa9e86892b0ccc49f2b885fea,MLB,2023-07-30T17:35:00Z,Atlanta Braves,Milwaukee Brewers,8.0,6.0,Atlanta Braves
7e43646791a1c6807dd479a6e327cdee,MLB,2023-07-30T17:35:00Z,Pittsburgh Pirates,Philadelphia Phillies,6.0,4.0,Pittsburgh Pirates
ea69f5c065b5009af2cd3a3a500385e1,MLB,2023-07-30T17:40:00Z,Miami Marlins,Detroit Tigers,8.0,6.0,Miami Marlins
96fffcad376d9ab283e884d81faec974,MLB,2023-07-30T17:40:00Z,New York Mets,Washington Nationals,5.0,2.0,New York Mets
c1f76807420668c0064214508e596afc,MLB,2023-07-30T18:10:00Z,Chicago White Sox,Cleveland Guardians,0.0,5.0,Cleveland Guardians
67558281ce0565e18faa1f140f045d51,MLB,2023-07-30T18:10:00Z,Houston Astros,Tampa Bay Rays,2.0,8.0,Tampa Bay Rays
f57579303291fae0527ad37b646b1666,MLB,2023-07-30T18:10:00Z,Kansas City Royals,Minnesota Twins,2.0,1.0,Kansas City Royals
1f122b29d0fc13490f1cd15a97f99387,MLB,2023-07-30T18:15:00Z,St. Louis Cardinals,Chicago Cubs,3.0,0.0,St. Louis Cardinals
3fed8ee015ac802160d1bfa669eac2c1,MLB,2023-07-30T19:10:00Z,Colorado Rockies,Oakland Athletics,2.0,0.0,Colorado Rockies
e50345228eec9cbfc0c6f82b478cf61f,MLB,2023-07-30T20:05:00Z,San Francisco Giants,Boston Red Sox,4.0,3.0,San Francisco Giants
74a267e0b9b2f2f90de107d20c68af3f,MLB,2023-07-30T20:10:00Z,Arizona Diamondbacks,Seattle Mariners,0.0,4.0,Seattle Mariners
110efcee974beb5dc6eeecf1b0d2371a,MLB,2023-07-30T20:10:00Z,Los Angeles Dodgers,Cincinnati Reds,0.0,9.0,Cincinnati Reds
0f85ad065524ac80dd1311281ad090d8,MLB,2023-07-30T20:10:00Z,San Diego Padres,Texas Rangers,5.0,3.0,San Diego Padres
79d3380a6da559818d54606246d818b0,MLB,2023-07-30T23:10:00Z,Baltimore Orioles,New York Yankees,9.0,3.0,Baltimore Orioles
17c49e5b5a984c393d734b8788d7d916,MLB,2023-07-31T22:40:00Z,Miami Marlins,Philadelphia Phillies,2.0,4.0,Philadelphia Phillies
e9cadf72927e89cae288005ac2012dd3,MLB,2023-07-31T23:05:00Z,Washington Nationals,Milwaukee Brewers,5.0,3.0,Washington Nationals
f754f8ccca1fcb62b13aaf5d8ca3bc86,MLB,2023-07-31T23:05:00Z,New York Yankees,Tampa Bay Rays,1.0,5.0,Tampa Bay Rays
1f66a7957aed1360731ff3574cff0014,MLB,2023-07-31T23:20:00Z,Atlanta Braves,Los Angeles Angels,1.0,4.0,Los Angeles Angels
027536beb5a50b954a3a464e54cd8ecf,MLB,2023-07-31T23:07:00Z,Toronto Blue Jays,Baltimore Orioles,2.0,4.0,Baltimore Orioles
8b1d698ab158c9fd1085d532bf604afc,MLB,2023-08-01T00:09:57Z,Houston Astros,Cleveland Guardians,7.0,3.0,Houston Astros
fb2280c4f4bf6083fa17285f2de49bb2,MLB,2023-08-01T00:05:00Z,Chicago Cubs,Cincinnati Reds,5.0,6.0,Cincinnati Reds
a1f83d3ed39cd4af4a985eb3e18f2ee7,MLB,2023-08-01T01:40:00Z,Seattle Mariners,Boston Red Sox,6.0,2.0,Seattle Mariners
b8b6a888b488af98dc6fd80ca74f18d2,MLB,2023-08-01T01:45:00Z,San Francisco Giants,Arizona Diamondbacks,3.0,4.0,Arizona Diamondbacks
7492c538bbc24b382e6cb17558718798,MLB,2023-08-01T03:00:03Z,Colorado Rockies,San Diego Padres,4.0,3.0,Colorado Rockies
78c44820c3d3fe73912a3e36a8acbe2a,MLB,2023-08-01T22:41:29Z,Miami Marlins,Philadelphia Phillies,1.0,3.0,Philadelphia Phillies
f079960698a2ba4ade64bf8b12cd9db7,MLB,2023-08-01T23:06:26Z,Washington Nationals,Milwaukee Brewers,4.0,6.0,Milwaukee Brewers
dd403f47a0806c8afb138c6b3275baf5,MLB,2023-08-01T23:07:06Z,Pittsburgh Pirates,Detroit Tigers,4.0,1.0,Pittsburgh Pirates
fccf2a056c91679fd3611ea8a03e6389,MLB,2023-08-01T23:08:21Z,Toronto Blue Jays,Baltimore Orioles,3.0,13.0,Baltimore Orioles
fc2b48011c82d25d5eaf314c33bea290,MLB,2023-08-01T23:08:25Z,New York Yankees,Tampa Bay Rays,2.0,5.0,Tampa Bay Rays
f2e021d93a1cbe5ee5da0b21817e6683,MLB,2023-08-01T23:20:50Z,Atlanta Braves,Los Angeles Angels,5.0,1.0,Atlanta Braves
de2815419bdc4f88f57260660789fce2,MLB,2023-08-02T00:08:33Z,Texas Rangers,Chicago White Sox,2.0,0.0,Texas Rangers
d1bfb5bc23d0439835f2037090359eb1,MLB,2023-08-01T23:46:40Z,St. Louis Cardinals,Minnesota Twins,2.0,3.0,Minnesota Twins
92f1c123e4b21ee5296b27cf241ba44b,MLB,2023-08-02T00:12:22Z,Houston Astros,Cleveland Guardians,2.0,0.0,Houston Astros
fd0ce7baeee066e9d1f3ec343e88022d,MLB,2023-08-02T00:05:07Z,Chicago Cubs,Cincinnati Reds,20.0,9.0,Chicago Cubs
824f8efb2dc79e39c6c9afb6ef141855,MLB,2023-08-02T00:10:37Z,Kansas City Royals,New York Mets,7.0,6.0,Kansas City Royals
18c8101d83a7fbfc3e967e9a129e9c39,MLB,2023-08-02T00:42:00Z,Colorado Rockies,San Diego Padres,5.0,8.0,San Diego Padres
9150b2b156e39e4dbf8c8b414c038244,MLB,2023-08-02T01:45:37Z,San Francisco Giants,Arizona Diamondbacks,4.0,3.0,San Francisco Giants
87cd03d98cc925f0a3b4de9182af06c4,MLB,2023-08-02T01:40:59Z,Seattle Mariners,Boston Red Sox,4.0,6.0,Boston Red Sox
4f58f4f343ef4ac81a3420cc0e87012b,MLB,2023-08-02T02:10:30Z,Los Angeles Dodgers,Oakland Athletics,7.0,3.0,Los Angeles Dodgers
efa483c52f406823a16b201f09e12249,MLB,2023-08-02T16:20:00Z,Atlanta Braves,Los Angeles Angels,12.0,5.0,Atlanta Braves
20111f8ce779088eb92f60a892bd71ee,MLB,2023-08-02T16:37:52Z,Pittsburgh Pirates,Detroit Tigers,3.0,6.0,Detroit Tigers
d15b9a74c8845e57d426c5e8319792b6,MLB,2023-08-02T17:05:00Z,Washington Nationals,Milwaukee Brewers,3.0,2.0,Washington Nationals
941c7f61b968e3fc75b4ff1a14db7785,MLB,2023-08-02T18:10:00Z,Houston Astros,Cleveland Guardians,3.0,2.0,Houston Astros
12abcfeef022c0e5a7fc97491358f093,MLB,2023-08-02T19:10:00Z,Colorado Rockies,San Diego Padres,1.0,11.0,San Diego Padres
eb69a9cc8a6a5d02da71a3dc381c0c30,MLB,2023-08-02T20:10:00Z,Seattle Mariners,Boston Red Sox,6.0,3.0,Seattle Mariners
8d7090b8623f57605a09bc8f16082827,MLB,2023-08-02T22:40:00Z,Miami Marlins,Philadelphia Phillies,9.0,8.0,Miami Marlins
cdfe416edf52b1de7c178a1870154fbf,MLB,2023-08-02T23:05:00Z,New York Yankees,Tampa Bay Rays,7.0,2.0,New York Yankees
3e4c118363c446be7235aa3f30598877,MLB,2023-08-02T23:07:00Z,Toronto Blue Jays,Baltimore Orioles,4.0,1.0,Toronto Blue Jays
528fec19a9836d6b7108cbc431f699eb,MLB,2023-08-02T23:45:00Z,St. Louis Cardinals,Minnesota Twins,7.0,3.0,St. Louis Cardinals
560e0d5da82bfcb357b44fec094d0323,MLB,2023-08-03T00:05:00Z,Texas Rangers,Chicago White Sox,11.0,1.0,Texas Rangers
cd36d76ed42a69a75a7ee5a9c2770b88,MLB,2023-08-03T00:05:04Z,Chicago Cubs,Cincinnati Reds,16.0,6.0,Chicago Cubs
ef6188872acabb58b78738c7bdf29fef,MLB,2023-08-03T00:10:26Z,Kansas City Royals,New York Mets,4.0,0.0,Kansas City Royals
