date,away_team,PTS,home_team,PTS.1,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
1/14/2021,Calgary Flames,3,Winnipeg Jets,4,Winnipeg Jets,,Calgary Flames,Calgary Flames,Winnipeg Jets,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/15/2021,Washington Capitals,2,Buffalo Sabres,1,Washington Capitals,@,Buffalo Sabres,Buffalo Sabres,Washington Capitals,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/15/2021,St. Louis Blues,0,Colorado Avalanche,8,Colorado Avalanche,,St. Louis Blues,Colorado Avalanche,St. Louis Blues,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/15/2021,Toronto Maple Leafs,3,Ottawa Senators,5,Ottawa Senators,,Toronto Maple Leafs,Ottawa Senators,Toronto Maple Leafs,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
1/15/2021,Pittsburgh Penguins,2,Philadelphia Flyers,5,Philadelphia Flyers,,Pittsburgh Penguins,Philadelphia Flyers,Pittsburgh Penguins,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/15/2021,Chicago Blackhawks,2,Tampa Bay Lightning,5,Tampa Bay Lightning,,Chicago Blackhawks,Chicago Blackhawks,Tampa Bay Lightning,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
1/16/2021,San Jose Sharks,3,Arizona Coyotes,5,Arizona Coyotes,,San Jose Sharks,Arizona Coyotes,San Jose Sharks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/16/2021,Vancouver Canucks,0,Calgary Flames,3,Calgary Flames,,Vancouver Canucks,Calgary Flames,Vancouver Canucks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/16/2021,Carolina Hurricanes,2,Detroit Red Wings,4,Detroit Red Wings,,Carolina Hurricanes,Carolina Hurricanes,Detroit Red Wings,Eastern,Atlantic,Eastern,Metropolitan,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
1/16/2021,Montreal Canadiens,5,Edmonton Oilers,1,Montreal Canadiens,@,Edmonton Oilers,Edmonton Oilers,Montreal Canadiens,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
